,item,rate,num_rate,num_sold,price
1268,蝦皮優選長袖衛衣休閒運動套裝 學生青年衣服開衫運動套裝男 運動服 休閒套裝 運動裝 韓版運動裝 修身運動裝 休閒服,4.8,60,144,$271.00
1269,軍衣襯衣 秋季襯衫男長袖青年純棉休閒工作特種兵大碼空軍牛仔軍裝  素面軍裝長袖襯衫 高磅數單口袋襯外 重工軍裝長袖襯衫,4.8,62,127,$339.00
1270,【Zoe Sport 柔依運動衣坊】男 Kobe 長袖帽T C07-801,4.9,17,28,$580.00
1271,沖評出清Nike 耐吉pro運動緊身衣男長袖健身服T恤晨跑步藍足球訓練服田徑服,5,27,82,$260.00
1272,沖評出清 UA安德瑪科比PRO長袖短袖運動緊身衣健身跑步長褲寬松大短褲男籃球訓練服,4.7,22,36,$222.00
1273,沖評出清UA 安德瑪Under Armour健身服男套装长袖速干紧身衣篮球跑步三件套速干短袖健身房训练服,4.8,13,34,$231.00
1274,蝦皮優選【形男】S-4XL藍色外套 大尺碼 水洗長袖翻領修身牛仔外套 男牛仔夾克 修身牛仔 男牛仔破洞外套 帥氣百搭 丹寧外套,4.9,23,37,$699.00
1275,蝦皮優選【形男】黑色 藍色可選外套 大尺碼 水洗長袖翻領修身牛仔外套 男牛仔夾克 修身牛仔 男牛仔外套 帥氣百搭 丹寧外套,4.8,41,64,$699.00
1276,NIKE 耐克【特價款3件900】 秋冬款男休閑上衣  翻領長袖  Polo衫,4.7,3,5,$380.00
1277,💕💕豎條紋襯衫男時尚潮流商務休閒襯衣春夏新款🌟🌟夏季五分袖襯衫男休閒短袖襯衫百搭寬鬆沙灘花襯衫港風,4.8,24,55,$163.00
1278,【現貨】 滿499免運 男圓領長袖t恤  男空氣層 春秋 羽毛  修身圓領上衣 套頭衫 長袖大學t 貨到付款 拍大一碼,3,2,13,$101.00
1279,新款開衫個性時尚修身小清新男裝運動套裝 男士立領跑步運動服長袖開衫休閑衛衣套裝男男生休閒兩件套情侶套裝,4.7,14,22,$421.00
1280,春秋季韓版 ulzzang長袖條紋打底衫 男學生拼接 假兩件高領 T卹寬鬆潮,4.9,7,22,$249.00
1281,↘️【特價出清】男-素色圓領長T,5,2,3,$490.00
1282,CPMAX 字母帽T 潮流穿搭舒適棉質 寬鬆帽T 潮流帽T 長袖帽T 大學T 字母大學T 男帽t 素色帽t 【T44】,4.6,129,349,$266 - $279
1283,NET》男長袖襯衫(M),5,1,1,$400.00
1284,【町先生】3色入🌓IG冷淡風 超贊CP 素面五分袖男T恤 寬鬆版 學生大學T長袖男生 純棉落肩情侶短T男裝 大尺碼T恤,4.8,33,86,$208.00
1285,M-5XL 日系條紋長袖大碼襯衫 青少年薄襯衫 正韓上衣 男生衣著 韓版休閒男上衣潮流修身立領青年襯衫,4.9,60,130,$299.00
1286,秋季新款襯衫 港風文格子襯衣男 長袖大碼外套 韓版休閒襯衫上衣 大尺碼青年襯衣 經典格子衫 修身百搭 男生衣著,5,60,122,$249.00
