,item,rate,num_rate,num_sold,price
37,短版T恤 針織v領縷空T恤 修身短袖 短袖上衣 短款 V領 女可愛小仙女短款女生上衣,4.8,224,545,$99.00
38,Adidas 愛迪達 短袖 女2019新款 三葉草 刺繡LOGO 休閒 運動 圓領 經典 T恤,5,84,281,$280.00
39,Nike 耐吉   短袖T恤 運動排汗衫 運動上衣 冰絲速乾衣 涼感T恤 薄款短T 大尺碼T恤  生短袖 休閒服 運動服,4.9,241,771,$142.00
40,短袖T恤 素T 短款 針織衫 鏤空上衣 V領 韓版新款純色復古針織v領縷空T恤女可愛小仙女短款上衣修身顯瘦氣質短袖上衣,4.9,399,964,$125.00
41,現貨台灣】睡衣女夏季短袖套裝純棉夏天可外穿韓版薄款學生ins家居服兩件套,4.6,54,151,$257.00
42,21736實拍 顯白短袖圓領打底上衣拼接撞色純色t恤女,4.9,"1,978","4,491",$135.00
43,小雛菊 碎花 小清新 韓版小個子套裝復古港風韓版碎花背心雪紡衫兩件套女,4.8,72,207,$195.00
44,實物拍攝 短袖任選5件650 三葉草 愛迪達 AD 短袖T恤 男短T 女短T 加大碼 純棉短T 男女短袖 情侶裝,4.9,45,306,$160.00
45,蝦皮優選🍎 台灣現貨 襯衫 S-10XL 女生襯衫 長袖襯衫 短袖襯衫 黑襯衫 黑色襯衫女襯衫 修身襯衫上衣 白襯衫 大尺碼,4.9,864,"2,589",$199 - $299
46,4色可選 韓國chic復古蕾絲上衣 蕾絲打底衫 純色薄款短袖襯衫上衣 早春立領重工蕾絲衫女 洋氣個性百搭寬松蕾絲襯衫,5,74,182,$199.00
47,蝦皮優選✨現貨✨韓版時尚休閒套裝運動套裝女短袖七分褲運動服兩件式套裝 (Ｍ－ＸＸＬ)👕加👖,4.8,388,746,$199.00
48,T恤 短袖T恤 短版 寬鬆 百搭韓版寬鬆圓領t恤女夏季新款基礎V領短款上衣短袖女ins洋氣潮,4.9,405,"1,155",$155.00
49,[下殺]  短袖襯衫 顯瘦 港風襯衫女復古夏季新款氣質西裝領上衣純色寬鬆小清新襯衣潮,4.8,149,429,$161.00
50,🌸B&T衣櫥👗現貨 低價下殺 純棉卡通睡衣 大尺碼家居服 短袖睡衣 女夏天薄款韓版 清新學生卡通 女夏兩件套裝,4.3,371,"1,570",$89.00
51,27411 韓版寬鬆字母印花套頭打底上衣女短袖T恤衫,4.9,540,"1,198",$145.00
52,洋裝 正韓側開叉洋裝 連身裙 長洋裝 短袖連身洋裝 素面長洋 打折縮腰側開叉長洋裝 韓國洋裝T恤裙長裙長洋 洋裝連衣裙女,4.9,58,135,$265.00
53,蝦皮優選老闆不賣了!必入手超優莫代爾棉 寬鬆顯瘦長版t 寬鬆開叉 前短後長 短袖 中長版 t恤 上衣 女 T恤 長版T-杜達女孩,4.9,694,"1,593",$99.00
54,短袖T恤 2020韓版港味復古方領修身百搭純色短袖薄款顯瘦針織T恤上衣女,4.9,57,184,$159.00
55,短袖T恤 百搭簡約字母短袖 休閒顯瘦百搭短袖 流行上衣韓版網紅超火cec短袖t恤女ins潮洋氣,4.6,53,133,$89.00
56,現貨 韓國 冰絲短袖睡衣套裝 夏季絲質兩件式休閒開衫女 日本流行加大寬鬆涼感仿真絲綢成套性感閨蜜l v舒適居家服睡褲,4.9,56,152,$218.00
57,蝦皮優選老闆不賣了!2019口碑款 隨心裁無痕t恤 V領純色T恤 柔軟螺紋 輕薄舒適 女 短袖 無痕 大尺碼 短袖上衣-杜達女孩,4.9,271,872,$177.00
58,蝦皮優選老闆不賣了!超舒服露肩開叉中長版上衣 露肩吊帶長版 T恤  寬鬆挖肩 上衣 女 短袖 莫代爾 短袖T恤 中長版-杜達女孩,4.9,853,"1,800",$197.00
59,[免運]短袖T恤 231915寬鬆休閒百搭潮流圓領短袖上衣女,4.9,65,143,$84.00
60,🌱Comeandbuy🙋短袖t恤 閨蜜裝 素色t恤 短版T恤女生衣著 學院風性感O領露臍T恤高腰女短袖,4.6,103,418,$89 - $112
61,短袖t恤 條紋t 休閒上衣 撞色短袖 女生衣著 泫雅風上衣夏裝2019新款韓版學生條紋圓領網紅T恤短袖女ins洋氣潮,4.9,802,"2,006",$109.00
62,蝦皮優選老闆不賣了!露肚扭結交叉上衣 甜美性感女神上衣 短袖 女 上衣 露肚 熱舞街舞 T恤 短版上衣 麻花扭結-杜達女孩,4.9,614,"1,598",$185.00
63,短袖條紋恤 圓領上衣 短款T恤 春夏季新款寬鬆彩虹條紋短袖恤女泫雅風學生短款露臍上衣女 女生衣著,4.8,101,282,$79.00
64,超值新款![免運]短袖T恤-【不起球/不透】T恤女短袖女裝 衣服夏裝新款印花百搭寬松大碼體恤白色-正韓上衣-現貨下殺,4.8,63,167,$80.00
65,蝦皮優選老闆不賣了!兩穿復古格紋V領抽繩一字領上衣 泡泡袖格子上衣 拉皺上衣 露肚上衣 一字領上衣 女 短袖上衣-杜達女孩,4.8,167,372,$199.00
66,韓版 圓領短袖T恤女 夏季 簡約百搭 素t 潮牌 學生衣服 女裝上衣 明星同款 閨蜜裝 上衣短袖港味,4.9,85,300,$89.00
67,韓版百搭打底衫 修身棉體t卹 女純色V領圓領上衣短袖,4.7,135,895,$28.00
68,蝦皮優選修身短袖 短版T恤 短袖上衣 V領針織衫 韓版針織v領縷空T恤女泫雅風超仙的短款上衣,4.8,36,134,$89.00
69,百搭圓領卡通刺繡短袖 休閑學生顯瘦短袖 牛油果綠t恤女短袖2020新款寬鬆眼睛刺繡港風,4.8,48,127,$89.00
70,【現貨】Movingpeach運動上衣女寬鬆健身服大碼速幹T恤圓領透氣瑜伽短袖夏季跑步罩衫正韓上衣 ETG,4.9,392,990,$318.00
71,蝦皮優選老闆不賣了!優質新款 超舒服莫代爾寬鬆蝙蝠袖 V領中袖 T恤 女 大尺碼 打底衫 上衣 短袖 五分袖 女-杜達女孩,4.9,920,"2,070",$175.00
72,韓國 卡通 短袖T恤女 大學t 短袖上衣 女生衣着 夏季新款 學生上衣 休閑百搭 大碼BF風 學院風港風 4色可選,4.8,174,425,$89.00
73,蝦皮優選針織短袖 短袖T恤 女生短袖上衣  素t 泫雅風修身短款半截袖t恤女復古針織短袖女生上衣 十色可選,5,22,104,$69.00
74,現貨批發價 牛油果綠色t恤女短袖學生夏季新款修身顯瘦刺繡字母大U領百搭上衣女生衣著 夏季chic韓版,4.7,52,181,$97.00
75,[2件折30]  短袖洋裝 連衣裙 長裙 流行裙子韓版百搭圓領寬鬆中長款短袖t恤針織裙子夏連衣裙女,4.8,269,725,$194 - $221
76,蝦皮優選🍎 台灣現貨 假領子 假領口 領子 白襯衫黑襯衫 假領子 假領襯衣假領女襯衫,5,127,442,$99 - $149
77,短袖T恤女生上衣【不起球不透】白色t恤女短袖學生打底半袖女2019新款寬松上衣潮,4.8,220,649,$89.00
78,韓妞必備 短版 圓領 V領 休閒 素色 女生 百搭韓版寬松圓領t恤女夏季基礎V領短款上衣短袖ins洋氣,4.9,855,"2,582",$139.00
79,限時免運❥ 現貨 小清新碎花 短袖短款 泡泡袖 小襯衫女 2020新款 修身 顯瘦 碎花 雪紡衫 上衣女,4.9,34,79,$99.00
80,💙依詩萊💙睡衣女夏季冰絲性感可愛短袖睡衣套裝 家居服夏天卡通纯棉蠟筆小新睡衣 小熊米奇卡通睡睡裙c375,4.9,40,128,$186 - $269
81,蝦皮優選老闆不賣了!2020夏新款 活力女孩側邊扭結短版上衣 短袖上衣 短袖t恤 純色打結露肚t 熱舞上衣 短版 女-杜達女孩,4.8,64,176,$175.00
