,item,rate,num_rate,num_sold,price
32,男士束腳褲男褲子韓版潮流運動哈倫休閒褲修身男女九分小脚工裝褲格紋格子褲(LPM105),4.8,141,317,$189.00
33,七个款黑色褲子男 韓版潮流休閒長褲 青年男士百搭大尺碼束腳長褲 時尚簡約寬鬆運動褲 縮口哈倫褲 學生小腳長褲 舒適九分褲,4.8,935,"2,562",$155.00
34,蝦皮優選【現貨】九分西褲男 高品質獨家打版 韓版純色訂製款穿搭必入手的西褲 西裝休閒長褲西褲 男裝 小腳褲子,4.7,35,131,$289.00
35,蝦皮優選現貨 彈力 西裝褲 男西裝褲 黑色西裝褲 修身西裝褲 韓版西裝褲 休閒西裝褲 直筒西褲 免燙西裝 大尺碼西裝褲 正式西褲,4.9,552,"1,568",$259 - $279
36,【現貨高質量】工裝褲男 休閒長褲 M-3XL 直筒寬鬆褲 日系工作褲 休閒褲 軍褲 潮牌多口袋工作褲,4.9,27,71,$199.00
37,蝦皮優選【高質量】秋季薄款褲子男 韓風韓版街頭嘻哈運動褲 學生潮流哈倫修身束腳褲 青少年時髦流行風休閒九分褲 男生衣著 男裝衣著,4.9,499,930,$99.00
38,工裝褲男 長褲 M-3XL 直筒寬鬆褲 日系工作褲 休閒褲 棉褲 軍褲 潮牌側口袋工作褲(CLRBK12),4.4,77,265,$255.00
39,蝦皮優選男褲 現貨 簡約褲 三色可選 直筒褲 九分褲子男 寬松 夏季薄款 休閑褲 韓版潮流百搭 男士9分褲 闊腿褲,4.8,285,800,$168.00
40,蝦皮優選魔鬼氈工裝褲 日系寬鬆側邊大口袋工作褲男休閒長褲縮口褲 韓版潮流百搭寬褲 帥氣原宿風縮口束腳休閒褲 運動哈倫褲 男生褲子,4.8,"1,261","3,173",$259.00
41,蝦皮優選現貨促銷＜彈力牛仔褲＞男生丹寧褲顯瘦 休閒褲男 韓版窄管褲 小腳褲男 素色工作褲鉛筆直筒褲 男褲 黑褲 牛仔休閒長褲男,4.8,783,"2,432",$199.00
42,蝦皮優選【27-38碼】牛仔褲男 長褲 牛仔小腳褲 韓版 男褲 男裝 褲子 休閒褲男 窄管褲 男生彈力長褲 男生衣著,4.8,407,"1,078",$229.00
43,蝦皮優選【形男】彈力 休閒褲 休閒長褲 男休閒褲 韓版長褲 黑長褲 卡其色長褲 日系長褲 上班長褲 男長褲 工作長褲 小腳褲,4.9,150,453,$299.00
44,蝦皮優選【形男】四季可穿 大尺碼 破褲男生 重磅 耐穿綁帶彈力縮口褲 男牛仔褲 束口褲 小腳褲 工作褲 潮流 男休閒褲 休閒長褲,4.9,463,"1,176",$299.00
45,蝦皮優選「潮男」多色可選 黑色 彈力 牛仔褲男 牛仔長褲男 牛仔小腳褲 牛仔褲 工作褲 男褲 褲子 休閒褲男 窄管褲 男生長褲,4.8,275,821,$199.00
