,item,rate,num_rate,num_sold,price
39,【江先森】純色上衣 吊帶衫 時尚休閒小背心 無袖T 韓版夏季女裝新款 素色T 短款女上衣,4.9,13,199,$49.00
40,蝦皮優選內衣女 學生內衣 韓版 無鋼圈 裹胸 打底內衣 吊帶背心 女 帶胸墊 防走光 抹胸 內衣 文胸,5,29,107,$70.00
41,【現貨】Movingpeach運動背心無袖女跑步健身長款罩衫外穿夏季健身美背寬鬆DVW,4.9,956,"2,303",$272.00
42,【台灣現貨】當天出貨  媽媽快買 限時特惠 秋夏季全棉布老人中老年內衣女媽媽背心前扣光面文胸無鋼圈薄款,4.4,17,114,$69.00
43,GENQUO_假兩件運動背心BraT-女,4.9,81,316,$149.00
44,♥ 背心 女 ♥ 黑/白/灰/粉 韓版 修身 寬帶背心 莫代爾棉 打底衫 簡約 純色 百搭 吊帶背心,4.9,23,78,$109.00
45,女童背心雙層防凸點螺紋發育期國小國中學生内衣純棉兒童內衣女8--10-16歲,4.9,43,255,$59.00
46,【Silly優品】（8色）純色細肩帶交叉美背運動內衣瑜伽服女新款露背健身文胸小吊帶,5,247,"2,153",$268.00
47,蝦皮優選背心 吊帶背心 女生背心 小可愛背心 無袖背心 夏季新裝短上衣法式設計感泫雅風心機皺褶吊帶背心女外穿,4.7,29,114,$99.00
48,蝦皮優選老闆不賣了!莫代爾胸墊細肩帶背心 無鋼圈罩杯式 吊帶背心 細肩帶 女 胸墊 內搭背心 小可愛 細肩帶背心 上衣-杜達女孩,4.9,322,885,$159.00
49,背心 无袖背心 针织背心 条纹背心 韓版修身百搭短上衣條紋打底針織吊帶背心女外穿潮,4.9,49,136,$101.00
50,蝦皮優選現貨 附發票 吊帶背心 U型美背背心 細肩帶背心 美背背心 無鋼圈運動背心女吊帶內衣 女內衣【T98】,5,29,79,$99.00
51,[店主推薦]美背大露背專用小可愛背心 細肩帶露背短版背心 內搭打底 深V領大U露背 短款吊帶背心內衣女,4.8,85,298,$55.00
52,大U螺紋美背內衣 網紅款 小可愛 背心 無鋼圈內衣 全網熱銷 女內衣,4.8,45,322,$39.00
53,【Silly優品】跑步健身瑜伽背心女 性感细带美背瑜伽文胸吸汗速干运动内衣,5,148,"1,505",$298.00
54,小可愛細肩帶背心軟妹港味純色吊帶背心女士白色打底衫短款小背心吊帶衫修身性感內搭背心女,4.6,176,668,$55 - $76
55,蝦皮優選『衣點點』現貨 卡卡同款網紅U型美背文胸性感裹胸抹胸無鋼圈運動背心女吊帶內衣 女內衣,4.8,13,109,$66 - $86
56,針織背心 背心 無袖背心 冰絲針織吊帶背心女黑色內搭無袖t恤韓版百搭上衣外穿,4.8,37,142,$59.00
57,蝦皮優選安冉現貨 小胸福音高強度防震運動內衣女背心式跑步聚攏定型瑜伽美背健身房文胸可拆卸胸墊,4.9,498,"1,348",$199.00
58,背心 吊帶背心 細肩帶背心 短版背心 小背心 小可愛背心 短背心 無袖背心 性感短款純色背心百搭無袖外穿修身小吊帶女,4.9,436,"1,511",$90.00
59,【現貨下殺】女士夏季無痕冰絲背心女 吊帶背心 內穿打底衫內衣 莫代爾 涼感衣 無袖背心  小可愛 高彈修身 顯瘦 吊帶衫,4.9,15,72,$49.00
60,蝦皮優選18656無縫一片式防走光螺紋抹胸內衣文胸 性感運動背心女美背裹胸,4.9,110,953,$49.00
61,【現貨】萬薇  心動價【3色可選】冰絲背心抹胸 冰絲無痕抹胸裹胸內衣吊帶背心女防走光打底夏季短款小背心,4.8,408,"1,354",$39.00
62,蝦皮優選玫瑰少女 美背美胸吊帶背心女 打底百搭 細肩帶 蕾絲性感 可拆卸胸墊 裹胸抹胸 無鋼圈 內衣女,4.9,75,467,$68.00
63,【Silly優品】性感運動內衣女含胸墊防震聚攏定型瑜伽背心式健身文胸,4.9,38,186,$318.00
64,美背背心 吊帶背心 都奉順 含棉無袖t恤女2019夏季新款韓版寬松外穿港風背心百搭心機上衣潮,4.7,48,137,$116 - $148
65,蝦皮優選『實拍』超輕薄透視性感運動背心無袖瑜伽背心女彈力寬鬆顯瘦健身背心運動上衣正韓上衣速乾透氣速舒適女罩衫背心【4色S~L】,4.9,253,515,$194.00
66,軟妹 無袖背心 ulzzang吊帶背心女bf風夏裝2018新款掛脖式修身針織露肩上衣,4.9,870,"2,138",$139.00
67,GENQUO_圓領背心連身褲-女,4.9,40,285,$119.00
68,蝦皮優選『衣點點』罩杯一体式日系美背带胸垫吊带背心女抹胸无钢圈聚拢运动内衣女bra 女内衣,4.9,69,261,$87.00
69,蝦皮優選M-7XL 大杯罩大尺碼美背無痕睡眠內衣 胖MM女無鋼圈防震運動背心 聚攏大碼薄款睡眠大胸文胸,5,43,157,$74 - $171
70,蝦皮優選新款內衣 全罩杯大尺碼DEF薄款大碼內衣女胖mm超薄透氣無鋼圈美背心運動聚攏集中收副乳顯胸小 日本無痕內衣 愛莉慧,4.9,87,342,$60 - $190
71,【現貨】萬薇   萬薇打底背心英文字母降落傘美背抹胸 無縫一片胸墊無鋼圈運動文胸 打底小吊帶裹胸女,4.9,"4,337",19000,$45 - $55
72,現貨24H★半截背心★免穿內衣莫代爾棉BAR升級版 無鋼圈一體成型吸濕排汗透氣居家內搭瑜伽孕婦 素面大尺碼 運動背心 女,5,313,878,$130.00
73,[現貨]冰絲一體式帶胸墊 休閒顯瘦無縫帶扣連體杯美背文胸背心女抹胸小可愛,4.8,669,"1,764",$56.00
74,【現貨】萬薇 萬薇 現貨 當天發貨 3色3個碼可選 冰絲背心抹胸 冰絲無痕抹胸裹胸內衣吊帶背心女防走光打底夏季短款小背心,4.8,830,"3,462",$35.00
75,女無鋼圈免穿胸罩墊罩杯一體Bar-T桖背心短袖半袖瑜伽運動內衣,4.9,139,402,$149.00
76,蝦皮優選老闆不賣了!薄針織無袖吊帶背心 外穿 顯胸繞脖上衣 修身掛脖子上衣 露肩背心 細螺紋 削肩 女 無袖上衣 t恤-杜達女孩,4.7,459,"1,371",$125.00
