,item,rate,num_rate,num_sold,price
36,@TT旗艦店 短袖襯衫男休閑夏季韓版潮流帥氣工裝七分袖男士襯衣外套簡約百搭(JHP502),4.9,17,75,$197
37,蝦皮優選現貨 六色入 男士長袖襯衫 工裝襯衫 襯衫男 chic潮牌襯衫 學生素色襯衫 寬版 大尺碼 休閒襯衫 薄款 工作襯衣外套,4.9,34,113,$219
38,☋□防曬服男超薄透氣外套輕薄冰絲防曬衫夏季釣魚戶外防曬衣女薄,4.8,28,39,$377
39,MARK連帽健身背心 夏季連帽 外套 男 運動 健身 無袖背心 修身 坎肩 MARK APPAREL 馬克體育S5051,4.9,102,194,$269
40,RECORD 教練外套 街頭外套 內絨布 男外套 United Freak 素外套 薄外套 United Freak,4.9,"1,789","3,608",$479 - $499
41,【現貨】夏季五分袖衫男休閒短袖襯衫 寬鬆沙灘花襯衫 港風休閒薄款夏威夷襯衫男生襯衣薄款外套(LJH1824),4.6,24,71,$185
42,Hipster【男女可穿】丹寧牛仔外套 皮卡丘外套男 韓版學生夾克 假兩件寬鬆百搭夾克潮流休閒上衣,4.8,120,252,$399
43,襯衫男 长袖襯衫 格紋襯衫 男生衣著春夏季格子襯衫男長袖韓版潮流寬松襯衣男士帥氣百搭外套,4.5,20,68,$127 - $128
44,西裝外套 男外套 雙排扣簡約外套 韓版潮流西服 休閒寬鬆男士正裝 韓版夾克 男士外套 (HXW31),4.7,86,222,$480
45,蝦皮優選【現貨】格紋西裝外套 韓版西裝外套 單排扣單西 格子西裝外套 休閒西服外套 西裝夾克 男士西裝外套 外套男 潮流寬鬆西裝,4.8,115,269,$359
46,德島防曬服男士夏季垂釣服超薄冰絲防曬衣男防蚊蟲戶外釣魚服外套,4.5,14,22,$253
47,{『美國阿丹』POLO RALPH LAUREN 基本款 男青年版 小馬連帽外套 內刷毛  男女可穿 },5.0,103,194,"$1,380"
48,🍂現貨🍂涼感冰絲防曬衣冰絲防曬服防曬衣機車防曬衣防紫外線抗UV夏季超薄款◈冰絲防曬衣男夏季超薄透氣防紫外線外套戶外潮,5.0,24,30,$360
49,韓國INS超火復古西裝外套 雙排扣簡約素面西服上衣男 春夏秋季寬鬆日系bf原宿風西裝夾克 垂感輕薄情侶款中性長款外套男女,4.9,47,122,$198 - $348
50,UV100 防曬 抗UV-涼感輕量連帽男外套-帽沿款 -【AA81017】,5.0,17,29,"$1,199"
51,防曬衣男薄夾克外套男 夏季輕薄褶皺防曬衣 男式夾克 薄款透氣 休閒風 風衣 防風外套 情侶 防曬外套  防紫外線外套,4.7,141,266,$159
52,【町先生】3色多碼🌓黑白灰 薄款正韓立領棉麻 天然棉質襯衫 條紋薄外套 男生立領襯衣 豎紋大學生襯衫上衣男 基礎款男裝,4.8,395,951,$188
53,CPMAX 韓系超帥連帽外套 外套 夾克 夾克外套 連帽外套 運動外套 韓版外套 外套男生 韓版 外套 男 C45,4.8,279,634,$339
54,NIKE NSW SWOOSH JKT HD WVN 風衣 黑白/軍綠 潮流 防風運動外套 夾克 男 連帽外套,4.8,44,87,$639
55,CPMAX 韓系防風防水騎士外套 防風外套 防水外套 保暖外套 大衣外套 機車外套 大尺碼外套 男外套外送必備 C100,4.9,162,277,$439
56,GENQUO_輕薄翻領簡約設計長版風衣外套-男,5.0,30,57,$229
57,蝦皮優選三色入 潮牌襯衫 韓版潮流 寬鬆襯衫 襯衫男 白襯衫 休閒襯衫 長袖襯衫 學生款 百搭 間約 素面 素色襯衣外套 現貨,4.7,94,319,$179
58,UA 安德瑪 UnderArmour 男 背心 透氣背心 休閒背心 寬鬆背心 防風背心 速乾衣 外套 男生背心 運動上衣,4.8,64,102,$388
59,2020新款 男生外套 襯衫薄款外套 休閒百搭 夾克 牛仔外套 毛邊夾克 夾克外套 情侶外套 港風薄外套 毛邊外套男,4.9,113,196,$299
60,【現貨】夏季薄襯衫男 長袖襯衫 休閒襯衫外套 夏季2019流行潮牌工装外套男 韩版宽松衬衣 潮流百搭衬衫,4.9,62,126,$239
61,蝦皮優選2019早春新款飞鹤七分袖薄款衬衫宽松个性道袍和服防晒衣  日係道袍和服男原宿風ins外套 花卉防曬服開衫襯衫,4.9,188,592,$249
62,胖達）NIKE SB JACKET 教練 外套 排扣 防風 防潑水 風衣 夾克 BV8739-010 黑 男,5.0,63,108,"$1,499 - $1,584"
63,內置口袋】春秋新款夾克男式工裝外套 防盜拉鏈連帽外套 青少年連帽上衣 休閒外套 男外套 韓版連帽外套 修身外套 男生衣著,5.0,62,114,$343
64,蝦皮優選薄外套 防曬外套 防曬衣男 男薄外套 男生外套 薄外套男 連帽薄外套 防曬外套男 外套男 防曬薄外套 情侶外套 男生衣著,4.8,16,29,$178
65,【防晒衣】防晒服 防晒外套 男裝 上衣 衣服 抗皺 薄外套  夏季防晒衣男超薄透氣工裝夾克防晒服抗紫外線,4.9,9,17,$159 - $179
66,牛仔外套男港風潮牌春秋夾克衫寬鬆百搭休閒網紅上衣牛仔襯衫男生衣著,4.8,26,70,$349
67,【限時特價】日系休閒百搭四季款男生襯衫 復古文藝風格紋襯衣 韓版百搭薄款格子襯衫外套男 潮男必備男生衣著,4.6,55,197,$78 - $198
68,道袍男中國風外套仙鶴日系日式開衫日本和服和風七分袖浮世繪春夏,4.6,43,123,$176 - $267
69,現貨 防曬外套 薄外套 連帽外套 抗UV外套 防曬衣 防紫外線 短款 百搭 韓版 夏季 防曬服男 薄款 外套 開衫,5.0,12,24,$546
70,CPMAX 迷彩連帽外套 連帽外套 防水 迷彩夾克 迷彩外套 男外套 連帽外套 男夾克 迷彩夾克 MA1【C38】,4.9,852,"1,463",$389
71,（短袖連帽外套） 素色短袖T恤 休閒T恤短袖 連帽休閒外套男 英倫情侶外套 男T 男外套 七色【韓瘋塔】BEAST同款,4.8,49,93,$299
72,【特價熱款】送項鏈】外套男士夏秋韓版連帽夾克男學生潮流寬松chic百搭外套男,4.7,6,13,$265 - $331
73,❃限時下殺❃ 現貨免運外套男生 連帽外套 防風外套 外套罩衫 迷彩連帽外套 迷彩夾克 迷彩外套男夾克 潮牌潮男寬鬆男外套,4.8,10,15,$339
74,🏃Running Girl👸新款防曬衣女 戶外皮膚衣男 超薄透氣速乾釣魚情侶防紫外線皮膚風衣防曬衣服,5.0,7,24,$139
75,【限時下殺】韓版休閒百搭襯衫男 秋季薄外套打底衫 復古格子長袖薄款格紋寬松休閑男士青少年百搭襯衣,5.0,17,44,$68 - $195
76,【Sharkhead】現貨 Adidas 外套 三葉草 愛迪達 黑白 三線 黑 藍 風衣 FM9883 FM9881 男,5.0,58,105,"$2,280"
77,【廠家直銷】西服套裝男士四季款 西裝修身三件套 新郎婚禮服 結婚伴郎西裝男 職業裝正裝,4.6,24,50,$554
78,薄款透氣亞麻外套男長袖立領中式休閑麻布上衣春天防曬棉麻夾克男,4.7,22,52,$105
79,免運特價＜免燙花襯衫短袖上衣＞渡假造型碎花襯衫男 抗皺短袖襯衫男上衣 修身休閒襯衫外套男 日系夜店男襯衫 韓瘋谷,5.0,5,23,$343
80,玉華香舖 新款 風衣 男風衣 外套 夾克 紙紮 紙衣 祭拜用品 往生用品,5.0,99,184,$120
81,【超低價】長袖立領修身牛仔外套 男牛仔夾克 修身牛仔 男牛仔外套 青春流行 帥氣百搭 現貨丹寧外套 薄外套 男生衣著,4.8,"1,344","3,069",$250
82,現貨 戶外 冰絲 防曬衣男 夏季 防紫外線 超薄 透氣 遮臉 針織外套 防曬服女,5.0,5,13,$268
83,🍂現貨🍂防曬衣冰絲防曬服防紫外線抗UV涼感冰絲防曬衣機車防曬衣夏季超薄款✥防曬衣男夏季超薄透氣防曬服學生連帽夾克外套,4.5,11,24,$214
84,防風外套 日系外套 連帽外套 休閒外套 工裝外套 2020港風春秋季新款工裝外套男韓版潮流寬松夾克學生休閑百搭連帽褂子,4.9,8,22,$399
85,【現貨】短袖襯衫 男裝 上衣 衣服 抗皺 薄外套 男生衣著 夏季五分袖襯衫男寬鬆純色日系原宿風 學生ins潮流半袖襯衣,4.0,4,13,$199
86,ins超火夏季韓國短袖花襯衫 港風chic復古花色襯衣 原宿風男女夏威夷度假翻領寬鬆襯衫 短袖襯衫男 襯衫外套 正韓衣著,4.9,372,"1,150",$289
87,✾春夏季純棉長袖襯衫牛仔休閑外套襯衣防曬服男裝襯衫加大工作服男 #上衣 #素T #單穿 #內搭 #夏天 #短袖 #團體服,5.0,6,14,$172 - $263
88,雨衣雨褲套裝女徒步騎行全身防水防暴雨分體加厚雨衣外套男,4.9,10,20,$950
89,【現貨24H】梨卡 - 情侶[男+女]長袖防曬五件式+男款外套三件式長褲加大尺碼印花圖騰浮淺潛水衣水母衣泳裝CR569,5.0,5,11,$743 - $828
90,adidas 防曬外套 男夏季新款 皮膚衣 男士運動 外套 情侶款 超薄 防紫外線 防曬衣 女,5.0,5,12,$359
91,工裝外套 休閒外套 防風外套 夾克 長袖外套 男生外套 2020年春秋必備新款正韓時尚潮流百搭寬鬆顯瘦休閒工作外套男外穿,4.4,17,40,$198
92,連帽外套 防風外套  寬鬆外套 情侶款 情侶裝 2020不一樣的情侶工裝外套男秋冬季連帽夾克韓版潮流同色系ins上衣服,4.8,5,16,$399
93,情侶款冰感皮膚衣2020夏季新款輕薄四面彈力透氣絲滑防紫外線UV外套風衣男連帽開衫女快幹防潑水可拆卸帽戶外旅遊登山防曬衣,4.9,16,25,$499
94,【19色入】男士秋季chic韓風襯衫外套男 韓版潮流寬松藍色長袖花襯衣 百搭休閑港風花襯衫 潮男必備男生衣著,4.9,10,37,$78 - $198
95,出清 Adidas 愛迪達男風衣連帽 連帽夹克 風衣外套 運動上衣 薄款 休閑運動夾克外套 大碼運動外套,4.8,68,146,$339 - $400
96,防嗮外套 防風外套 連帽外套 休閒外套 長袖外套 防嗮衣 薄款外套 2020年夏季新款韓版時尚百搭寬鬆顯瘦學院風外套男,5.0,7,12,$298
