,item,rate,num_rate,num_sold,price
37,蝦皮優選夏季薄外套 罩衫 防曬外套 防曬衫 ins夏季韓版寬鬆長袖針織衫T恤女百搭薄款短版牛油果綠上衣開衫 女,5.0,21,83,$159
38,🌱Comeandbuy🙋[現貨] 新款韓版女復古百搭顯瘦長袖格子襯衫女學生小清新氣質寬松中長款防曬開衫長袖上衣外套薄,4.6,38,89,$119
39,針織開衫 薄外套 春季韓版V領冰絲針織防曬開衫百搭ins長袖t恤女復古港風chic上衣,4.4,18,50,$118
40,蝦皮優選正韓國版薄款黑色西裝外套女生衣著 夏天防曬翻領小西裝外套 寬鬆寬版顯瘦排扣長袖西裝外套女 百搭氣質白色杏色紫色純色閨蜜裝,5.0,17,36,$228 - $249
41,初秋輕熟風禦姐套裝褲女長袖上衣短款西裝外套黑色西褲時尚三件套（分開下單）,4.9,34,113,$123 - $338
42,蝦皮優選老闆不賣了!秋季冰絲針織罩衫 V領冰絲針織衫 開衫薄款 防曬 長袖 女 外套 薄外套 長袖外套 罩衫 針織外套-杜達女孩,4.8,331,767,$215
43,【2件折20】現貨下殺💕💕薄款外套防曬服女夏季撞色連帽飛行員夾克bf寬鬆休閒上衣情侶外套,4.8,53,129,$175
44,【限時下殺】花襯衫女 正韓風少女韓版寬松花襯衣 翻領短袖上衣 學生ins度假風開衫外套女 復古港風百搭oversized,4.8,115,549,$58 - $158
45,蝦皮優選現貨 女生針織外套 女生短版外套 長袖針織外套 針織毛線衫 短版上衣 外套女 長袖開衫 新款修身外搭紅色針織衫上衣外套,4.9,31,82,$165
46,蝦皮優選老闆不賣了!三色S-XL 秋冬款中長版 格紋襯衫 格子襯衫 長袖襯衫 女 上衣 薄外套 長袖 襯衫外套 大尺碼-杜達女孩,4.8,222,468,$199
47,女生上衣 短版上衣 女生外套 針織外套 薄外套 jennie同款夏韓國復古米白色v領百搭短款上衣鏤空薄款針織衫T恤女,5.0,24,80,$129 - $154
48,夏季新款bf潮原宿港風復古修身時尚牛仔衣外套女牛仔上衣,4.9,408,"1,525",$246
49,🌱Comeandbuy🙋免運 現貨薄款寬鬆顯瘦小清新原宿風百搭個性簡約複古撞色格子襯衣長袖襯衫防曬衣外套女,4.7,81,183,$142
50,蝦皮優選🍎 台灣現貨 西裝外套 女 女生 西服外套  簡約單釦西裝外套 正式外套 商務 女西裝外套 女上班外套 西外 大尺碼,4.9,214,397,$390
51,蝦皮優選老闆不賣了!新色到~實拍包心紗V領長袖針織外套 氣質 純色 短版 開衫小外套 女 長袖外套 針織外套 外套-杜達女孩,4.9,620,"1,425",$219
52,正韓上衣❤BF牛仔外套丹寜牛仔寬鬆牛仔外套複古刷破大尺碼素色外套潮流熱賣外套牛仔衫夾克女 學院風 韓妞必備,4.8,559,"1,244",$299
53,蝦皮優選現貨M01✨韓系/白襯衫/韓版/chic/寬鬆雪紡/長袖/百搭/白色襯衫/女休閒/外套/防曬/上衣/學生/學院風,4.8,176,430,$199 - $599
54,女生襯衫 絨面襯衫 長袖襯衫 秋冬新款燈芯絨外套長袖秋季日系ulzzang迷鬼馬系少女慵懶寬松襯衫女,4.8,124,382,$199 - $234
55,[現貨] 寬鬆外套  V領上衣 韓版微透薄款純色長袖針織開衫上衣女 百搭短款防曬外套潮,4.7,111,334,$153
56,正韓襯衫長版襯衫薄外套chic襯衫女2020中長款氣質女裝寬松格子襯衣女棉麻薄款防曬衣休閑外套,4.8,14,52,$239
57,蝦皮優選現貨+預購 杜米服飾-針織外套 V領薄純棉針織衫女開衫長袖薄款毛衣外套-空調衫-針織外套,4.9,566,"1,770",$149 - $199
58,🌱Comeandbuy🙋氣質長款百搭針織外套女  純色寬鬆長袖外搭 通勤裝 慵懶風長版毛衣外套 秋冬女裝,4.1,55,139,$129
59,女生外套 休閒外套 潮牌外套 韓版寬鬆BF風休閒開衫 薄外套女 春秋2020新款韓版學生百搭寬鬆夏季防曬衣 夾克棒球服,4.5,18,41,$159
60,蝦皮優選老闆不賣了!夏日鏤空蕾絲罩衫 泳装外套 女 白色蕾絲 海邊渡假 蕾絲網紗 外搭 開衫 薄外套 防曬沙灘 防曬-杜達女孩,4.8,314,701,$179
61,【一件起訂 快速出貨】客制化衝鋒衣 連帽風衣外套 來圖定制 個性服飾 短袖女 情侶t恤 男女款 班服 純棉透氣定做照片,5.0,3,67,$100 - $280
62,蝦皮優選現貨 薄外套 防曬衫 夏季女外套 罩衫 韓國ulzzang中長款開衫防曬衣女海邊沙灘服百搭休閒薄款外套 女外套,4.9,112,224,$115
63,❤果果家❤現貨批發價 夏季v領冰絲針織衫女開衫 短款修身七分袖 空調衫 薄款防曬披肩外套 寬鬆 針織衫 透氣 薄款罩衫,5.0,26,66,$198
64,蝦皮優選【伊丹韓衣】限時下殺 春秋單寧外套女寬鬆蝙蝠袖大口袋單寧上衣韓版工裝雪花色bf單寧服,5.0,44,77,$299
65,【現貨實拍】4色可選！👗👗春夏複古寬鬆運動休閒外套上衣女 韓版韓妞薄款情侶防曬衣服  ins條紋兩杠學院風拉鏈外套女,4.6,47,162,$149
66,格子襯衫女 休閒外套 開衫外套 防曬衫 休閒開衫 薄外套 女中長款設計感小眾長袖襯衫 韓版復古港味冷淡風上衣,5.0,20,44,$152
67,【日韓現貨】短款小西裝外套女休閑2020夏季新款韓版修身七分袖薄款防曬衣服女,5.0,13,31,$166
68,蝦皮優選牛仔外套 【現貨S-XL】✨❤️正韓外套❤️上衣 白色牛仔外套女春秋新款韓版學生bf原宿寬鬆短款拼接上衣潮,4.9,61,141,$399
69,針織外套 毛衣外套 長袖針織衫 小清新日韓潮流女開衫潮學院防風罩衫外套秋季新款韓版寬松外套港味復古V領慵懶風針織衫,4.9,"1,078","2,924",$250
70,[免運]西裝外套 159665翻駁領防曬西裝寬鬆顯瘦雙排扣外套女,4.7,17,39,$274
71,臺灣現貨❤️ 現貨 ❤️ 日本 jk制服 開衫 米色 藏青 灰色 女高中生 外套 罩衫,5.0,519,895,$250 - $550
72,[優質現貨]加大碼長袖修身連帽短款夾克外套 百搭上衣牛仔短外套 假兩件連帽牛仔外套 時尚休閒百搭外套 牛仔外套女,4.8,59,119,$319
73,蝦皮優選📣📣現貨👗丹寧外套👗正韓外套 2020春季新款韓版短款修身百搭顯瘦長袖韓國時尚牛仔外套女時尚潮 女生衣著,4.8,105,176,$299
74,RH輕奢女裝 西裝外套 西裝女 閨蜜裝 韓版西裝 正韓上衣2020春秋新款網紅復古休閑氣質小西裝韓版chic港風寬松女,5.0,1,57,$565
75,蝦皮優選老闆不賣了!含內裡挺版英倫風西裝外套 秋冬復古毛呢格紋外套 毛呢西裝外套 內裡 格子外套 西裝外套 大尺碼 女-杜達女孩,4.9,239,443,$459
76,【加大4XL】現貨 韓版牛仔衣外套 新款牛仔外套短外套韓版長袖修身短款牛仔褂女風衣磨破潮 韓妞必備,4.4,319,655,$239
77,外套 牛仔外套 韓國爆款 短版牛仔外套 韓版復古韓版牛仔外套女短款百搭寬鬆bf夾克 港味夾克短款寬鬆bf百搭學生新款上衣,4.9,42,119,$168
78,很仙的慵懒风waitmore毛衣女套头外套宽松日系学院风ins潮大码秋,5.0,11,39,$450
79,RH輕奢女裝 西裝外套 西裝女 閨蜜裝 韓版西裝 正韓上衣春秋2020新款抖音爆款時尚寬松中長款女西裝外套顯瘦網紅西服,5.0,1,56,$560
80,蝦皮優選網紅設計感小眾西裝外套女2020新款春秋季小香風韓版休閑百搭小西服,4.9,39,72,$493
81,特價 新款阿迪達斯風衣 女外套運動外套 風衣 透氣經典長袖防風 休閒外套MAD5506 S~XL,4.8,47,90,$460
82,蝦皮優選【現貨】防曬衣 女生 薄外套 罩衫 ins韓國原宿風bf寬鬆百搭雪紡衫開衫外搭外套女蝙蝠袖防曬衣 女生衣著,5.0,6,22,$89
83,現貨批發價免運春夏裝韓版寬松燈籠袖條紋襯衫女雪紡空調開衫百搭防曬衣薄外套潮,4.9,78,174,$145
84,現貨批發價免運 風衣中長款女韓版學生百搭新款春秋寬松休閑薄款bf外套 大尺碼,4.8,46,94,$147
85,外套女2019新款春秋季韓版chic小個子少女西服杏色復古小西裝上衣,4.9,11,34,$337
86,雪紡衫 襯衫 長袖襯衫 防曬衫 韓國原宿風bf寬鬆百搭開衫外搭外套女蝙蝠袖防曬衣 女生衣著,4.9,71,177,$102
