,item,rate,num_rate,num_sold,price
929,蝦皮優選<極度絕對>The North Face 防風透氣防曬 抗uv 可調節 串標 老帽 鴨舌帽 軟帽 TNF北臉,5,111,148,"$780 - $1,080"
930,變形金剛 大黃蜂 科傅文 鹹蛋超人 奧特曼 超人力霸王 輕量 透氣 兒童 帽子 童帽,4.9,36,72,$100.00
931,線條布面款鴨舌帽 報童帽 小偷帽 狩獵帽 打鳥帽 現貨實拍,5,12,29,$150 - $290
932,《現貨》兒童帽配件 帽子防風繩 帽子防風繫帶 遮陽帽防風綁帶,5,55,260,$10.00
933,造型時尚推薦爆款設計感經典款最新時尚設計棒球帽70672,4.9,62,148,$99.00
934,【MOMO製品】韓國Mlb棒球帽小標La正品新款春夏男女同款Ins鴨舌帽NY洋基隊帽子 休閑帽 遮陽帽,4.8,190,601,$86.00
935,【現貨實拍ing】 夏季遮陽帽子女隨意折疊韓版卷卷空頂帽遮陽布帽百搭太陽帽防紫外線遮臉帽 遮陽帽 大沿帽 海灘帽,4.9,63,148,$69.00
936,【實拍現貨ing】日系遮臉素色大帽檐漁夫帽女韓版帽子夏天遮陽防曬百搭文青盆帽太陽帽夏男,4.8,36,83,$95.00
937,【MOMO製品】現貨秒發 韓國 可愛日系小丸子 幼稚園軟萌 蝴蝶結小黃帽 學生漁夫帽 遮陽帽,5,1,32,$78.00
938,帽子【8374】新款休閒百搭純色棒球帽 韓版時尚潮流街頭鴨舌帽男女情侶通用  簡約遮陽鴨舌帽 復古 學院風 3月10出貨,4.8,343,"1,392",$38 - $63
939,🔥現貨發出🔥冠軍現貨2020人氣爆款 潮牌運動防曬棒球帽  刺繡帽子 繡花棒球帽 情侶帽 老帽棒球帽 超商取貨,5,62,106,$139.00
940,蝦皮優選『現貨供應中』雙色耳塞套4.0mm入耳式耳機套耳機套子彈頭入耳式耳機矽膠套塞套雙色耳套配件矽膠耳帽耳塞 耳機帽,5,13,178,$5 - $10
941,《吊燈配件》吸頂盤圓盤底盤線鎖三段電子開關四段電子開關吊燈配件軌道燈 軌道頭鎖線鎖扣 鎖帽 軌道吊燈,5,38,171,$20 - $100
942,縮小帽圍貼 帽貼 『瑞小貝🎀市集』‼️限購買草帽加購 帽圍貼 帽貼 縮小帽圍,5,36,274,$12.00
943,超薄矽膠耳帽 無翅膀款 AirPods 2 1 通用 耳帽 耳罩 耳機配件 耳機矽膠套 耳套 防掉防滑 耳機套,4.8,406,"1,329",$29.00
944,木瓜製品/韓版ins系帶草帽女可愛軟妹蘿莉風草帽夏季出遊綁帶沙灘帽,5,49,102,$176.00
945,New Era 9Forty NY Cap 洋基 刺繡 Logo 老帽 棒球帽【高冠國際】,5,908,"1,872",$629.00
946,🔥現貨發出🔥2020人氣爆款小蜜蜂立體 刺繡質感 春夏韓版 休閑帽子 學生百搭 彩圖NY重工刺繡 繡花棒球帽 情侶帽,5,158,273,$155.00
947,寶寶漁夫帽遮陽帽 花苞漁夫帽 女童花瓣漁夫帽 嬰幼童遮陽帽 可調節漁夫帽 兒童漁夫帽遮陽帽 純棉帽子 四季款,5,58,108,$150.00
948,Carhartt Odessa Cap 100289 老帽 棒球帽 鴨舌帽【高冠國際】,5,"1,205","2,521",$569.00
949,蝦皮優選現貨-太陽女防曬夏天戶外運動棒球無頂網球鴨舌帽遮陽帽空頂帽子透氣網眼鴨舌帽,5,36,73,$129.00
950,🎉現貨不用等🎉戶外運動紫外線防護釣魚徒步旅行太陽帽,4.8,261,839,$118.00
951,親子款草帽👒紳士帽（兒童款贈送防風繩）『瑞小貝🎀市集』春夏季親子黑緞帶帥氣紳士草帽 兒童草帽 母女母子草帽 防曬帽,5,128,235,$145.00
952,親子款草帽👒粗緞帶草帽（兒童款贈送防風繩）『瑞小貝🎀市集』韓版優雅粗黑色緞帶母女款草帽 出遊必備 兒童草帽 親子草帽,4.9,62,98,$207.00
953,Cp004 雙面戴 跨境電商爆款帆布漁夫帽男女潮印花椰樹雙面戴盆帽戶外出遊遮陽帽,4.8,8,24,$119.00
954,特價促銷價Polo Ralph Lauren 帽t綠藍小熊刺繡 復古鴨舌帽 老帽 棒球帽,4.9,72,240,$399.00
955,【HanVo】韓系雙面戴漁夫帽 ins小清新防曬帽 遮陽帽 韓國帽子 日系韓版 現貨女生衣著 女生配件 8107,5,13,23,$170.00
956,爆款無頂遮陽帽子女夏天韓版遮臉帽可折疊發箍兩用出遊防曬空頂帽貝殼帽,5,7,27,$64.00
957,AirPods超薄蘋果藍牙耳機套矽膠帽蘋果無線air pods2代防滑耳塞保護套airpos防丟防掉帽airpod配件i,4.7,26,124,$30.00
