,item,rate,num_rate,num_sold,price
34,rise7775🔆Spao X 玩具總動員 聯名後背包 筆電包 半價限時折扣 🇰🇷,5,98,226,$659.00
35,New balance 圓筒包 指定活動賣場 請勿下單,5,46,"2,049",$1.00
36,[現貨] 反光背包防雨罩 24H出貨 台灣現貨【小麥購物】【Y582】背包防水套 背包套 背包罩 登山 旅行 防水套,4.9,626,"1,425",$59 - $89
37,鬼滅之刃 鬼滅之刃鑰匙扣 背包掛件 竈門炭治郎 竈門禰豆子 我妻善逸 嘴平伊之助 富岡義勇 鑰匙圈,4.9,"1,000",11000,$18.00
38,蝦皮優選兒童雨衣 - 前開式/後背包容量設計 書包雨衣 雙龍牌 輕便雨衣 背扣可調 兔子媽媽 小朋友雨衣W,5,802,"1,783",$120.00
39,蝦皮優選免運【24H出貨/公司貨附發票】耐重防雨多隔層後背包/尼龍防潑水多層次休閒背包/學生書包/14吋筆電背包,4.9,"3,297","5,505",$299.00
40,蝦皮優選免運🚚【24H出貨/公司貨附發票】運動休閒大容量後背包 耐重多隔層背包 多層次15.6吋筆電背包 商務背包,5,"4,502","7,543",$299.00
41,【全新現貨】正版救援小隊系列/汪汪隊立大功/佩佩豬/米奇/米妮/波力/羅伊/安寶 現貨抽拉式背包水槍,5,207,699,$145 - $195
42,現貨 鬼滅之刃飄帶掛件 動漫飄帶鑰匙扣 鑰匙圈 背包掛飾 吊飾 雙面鈴鐺飄帶 二次元動漫周邊掛件,4.9,220,"1,397",$30.00
43,✨LGKAR✨卡通角落生物PVC軟膠鑰匙鑰匙圈 哆啦A夢龍貓硅膠汽車鑰匙掛飾包包背包掛飾 創意贈品禮品,4.7,125,"4,457",$2.00
44,[小優電玩] 動物森友會-極速發貨 🔥背包40格任選🔥/ 動森 / 道具 / 鈴錢 / 旅行卷 / 傢俱,5,36,17000,$200.00
45,蝦皮優選【現貨保證】輕快風 多種口味 80g 乾燥飯 快煮米 乾燥飯 速泡飯 沖泡飯 登山 背包 自助 露營 地精 輕快風生活館,4.9,212,"1,861",$80 - $240
46,買五送二 新增款同人鬼滅之刃 鬼滅之刃鑰匙扣 背包掛件 鑰匙圈 掛飾 竈門炭治郎 竈門禰豆子 我妻善逸 伊之助 富岡義勇,5,110,"1,545",$36.00
47,♪自助上島♪任挑♪動物森友會 動森 家具 服裝 金礦 木材 壁紙 背包 地板 地毯 里程卷 花朵 材料素材 任意帶走,5,17,753,$10.00
48,蝦皮優選【現貨-免運費！蝦皮最優】韓系背包 側背包 羽量級防潑水 包包 斜背包 腰包 背包 單肩包 男包 小背包 男生包包 胸包,4.9,764,"1,851",$5 - $299
49,蝦皮優選兩款 原宿BECAWSE 英文 防盜後背包 大容量 防水 學生 校園 雙肩包 潮流簡約 字母 帆布後背包 背包【潮可】,4.9,462,"1,031",$5 - $299
50,後背包 🔥台灣現貨🔥韓版復古車縫線雙肩包 素色簡約 防盜後背包 多夾層雙肩包 後背防盜 學生書包 防潑水電腦包雙肩包,4.9,233,474,$320 - $350
51,✨LGKAR✨（36款）角落生物拉鏈款雙面帆布包包單肩包 角落小夥伴少女學生簡約百搭購物袋包,5,145,498,$79.00
52,蝦皮優選【Big唐】四拉鏈 多功能雨衣 男女雨披 加長款成人背包雨衣 風衣式雨衣 四合一雨衣 全身防潑水雨披 情侶一件式雨衣,4.8,134,298,$293 - $333
53,FASHION JUMP STORE ✨Dickies 網格機能 後背包 現貨,5,365,761,$879.00
54,附發票❤️卡娜赫拉正版2020兔兔P助變裝娃娃 變裝抱枕 變裝吊飾 鼠年娃娃 吃胖暖手枕 肩背包 後背包 玩偶 大娃娃,5,52,185,$100 - $480
55,現貨 動漫鬼滅之刃娃娃毛絨小掛件 動漫鑰匙扣 鑰匙圈 炭治郎 禰豆子 義勇 善逸 蝴蝶忍公仔 後揹包吊飾 雙面毛絨玩具,5,130,945,$24.00
56,台灣出貨🔥🔥ULZZANG原宿後背包/雙肩包 八種顏色 防盜暗袋 隱藏式拉鍊 兩邊可放水瓶 可放置15.6吋筆電,4.9,"2,535","4,876",$199 - $249
57,蝦皮優選《24H出貨-戶外專區》背包 防雨罩 戶外登山包書包防水罩 雙肩背包防雨罩  防雨罩 防水套 後背包防水罩,4.9,742,"2,252",$31 - $90
58,蝦皮優選防雨罩 背包雨衣 背包防水罩 包包防雨套 書包防水罩 防塵罩 防雨罩 防髒套 防水套 多功能防水套 安全帽防雨罩 防水,4.9,273,953,$20 - $99
59,【臺灣現貨】背包書包防雨罩（通用型）登山包 拉桿書包防水套 防水罩 雨套 書包專用雨衣書包雨衣❤宜佳書包❤,4.9,180,567,$39.00
60,3D動物 切面 手機殼配送 鑰匙扣 手機掛繩 背包掛件 錢包掛飾 小禮品 鑰匙環 小飾品,5,13,235,$15.00
61,夏天游泳 現貨 雙層 冷感巾 冰涼巾 二代魔幻涼感巾 涼感毛巾 自行車毛巾休閒 背包 冷感毛巾 冰凉巾娛樂 收藏 戶外2,4.9,27,"1,048",$1 - $10
62,蝦皮優選【現貨-免運費！台灣寄出】型男潮包 後背包 韓版可充電 背包 包包 防水背包 電腦包 防水後背包 男生背包 運動背包,4.9,"2,586","4,678",$550.00
63,【現貨】發光鞋 LED震動機芯 背包燈 鞋燈,5,59,663,$10.00
64,【2020潮品】☞☞韓版 原宿ulzzang 簡約百搭 森系 後背包 ins風時尚雙肩包 大容量校園風書包,4.9,133,291,$279 - $309
65,鬼滅之刃徽章吊飾鏡子 A-Z款套圖 胸章 包包掛件吊飾 小圓鏡 胸針別針配飾 鬼滅吊飾 炭治郎 禰豆子 善逸 後背包掛件,4.8,34,436,$6 - $16
66,蝦皮優選【台灣現貨☆免運☆】【背部防盜15.6吋尼龍筆電後背包】韓系日系 雙肩包 背包 電腦包 多功能包 書包 包郵,4.9,"1,646","2,809",$299 - $388
67,蝦皮優選台灣現貨  大容量媽媽包背包  雙肩母嬰包 多功能媽咪包 媽媽背包,4.9,"5,173","8,476",$379.00
68,蝦皮優選【瑪雅拼布材料】3.2cm素色拼布棉織帶/背包帶-- (1碼20元)--適用拼布包、手提袋、背包,5,82,905,$20.00
69,JOJO現貨⚡INS可愛少女心酪梨鑰匙圈背包吊飾毛絨吊飾可愛娃娃鳳梨毛絨玩偶掛件吊飾,4.9,509,"1,205",$69.00
70,《優品實拍》Fjallraven 北極狐 瑞典高端品牌 kanken 經典款 正版 雙肩背包 書包 背包 防水 後背包,4.9,471,763,$780 - $855
71,蝦皮優選【現貨】戶外雙肩背包減負固定胸前扣帶 附口哨背包扣帶 背包胸扣,4.9,819,"2,791",$49.00
72,現貨 鬼滅之刃雙面飄帶掛件 揹包掛飾 吊飾 飄帶 動漫飄帶鑰匙扣 鑰匙圈  二次元動漫周邊掛件,4.9,49,334,$30.00
73,台灣現貨 防水斜背包 側背包 大容量胸包 防盜背包 霹靂包 充電肩背包 單肩包 男 斜挎包 男女運動側肩包 側包 斜包,4.9,232,547,$399.00
74,蝦皮優選【熊愛露】大號 鋁合金8字扣環 8CM S勾 可挑色 鋁合金8字扣 背包掛鉤 S掛勾 登山扣 非D字扣,4.9,951,"4,837",$30.00
75,現貨 新款 鬼滅之刃小立牌 鑰匙扣 鑰匙圈 扭蛋 雙面壓克力吊飾 後背包掛件 禰豆子 炭治郎 善逸二次元卡通動漫周邊批發,4.9,47,413,$18 - $19
