,item,rate,num_rate,num_sold,price
32,蝦皮優選偏光 抗UV400 偏光太陽眼鏡 偏光墨鏡 太陽眼鏡 墨鏡 愛的迫降 方框  黑色迫降墨鏡 個性時尚黑色圓框小臉太陽眼鏡,4.9,326,581,$145 - $399
33,15款 年度最新款潮流時尚智能男女通用偏光太陽眼鏡 71652標檢局D74321,4.9,598,"1,458",$129 - $199
34,台灣🇹🇼快速出貨 🈵️額免運費 優質平價 眼鏡耳勾 眼鏡配件 運動耳勾 眼鏡防滑勾,5,14,694,$2.00
35,【批發】經典不敗款正圓框眼鏡 平框鏡 大框 粗框 細框 圓框 百搭 好看 網美 網紅 男女 情侶 自拍 外拍 出國 出門,4.7,356,"1,176",$10 - $60
36,🎉超值價25元🎉老花眼鏡 矯正眼睛 光學鏡片 100度 150度 200度 250度 300度 350度 拭鏡 收納,5,64,493,$15 - $25
37,新款韓版大框多邊反光不規則復古墨鏡 太陽眼鏡  71305標檢局D74321,4.9,305,630,$149.00
38,蝦皮優選台灣現貨 特價99元 台灣現貨 特價99元 新款 復古 原宿風 金屬 街拍大框眼鏡框 平光鏡架 學生眼鏡,4.9,162,393,$99.00
39,墨鏡 附眼鏡盒+眼鏡布 多款多色可選 果凍夾心小臉神器太陽眼鏡 69602 標檢局D74321,4.9,"1,875","5,133",$99.00
40,蝦皮優選偏光-韓國復古個性太陽鏡女潮圓臉大臉大框明星款墨鏡百搭前衛眼鏡超黑彩膜 金邊黑框大明星墨鏡,5,"1,738","3,415",$100 - $349
41,蝦皮優選🎥🏆韓版文青復古眼鏡 鏡片 圓形 圓框 復古 文青 學生 書生 假 心機 超美 不敗 百搭 韓版 必買 必備 女生,4.8,"4,817",12000,$68 - $99
42,升級持久3M膠鼻墊貼🚴‍♂️現貨天天出🚴‍♂️眼鏡鼻墊鼻墊貼優質矽膠防滑止滑增高加高柔軟舒適持久防水止滑墊眼鏡,5,47,532,$8 - $12
43,蝦皮優選🈵滿額免運🈵 矽膠包金屬感鼻墊！ 鎖螺絲眼鏡鼻墊 防滑 鼻墊止滑 金色鼻墊 銀色鼻墊 SHAWN尚恩鏡舖,5,593,"3,245",$5 - $20
44,【馬賽克眼鏡】網紅裝逼眼鏡/裝B眼鏡/二次元惡搞抖音打碼/墨鏡/派對眼鏡/太陽眼鏡/搞笑效果/惡搞/像素/生日/自拍,4.9,327,"2,676",$29.00
45,[現貨] 攜帶型眼鏡擦  24H出貨 台灣現貨 【小麥購物】【Y312】攜帶型 眼鏡擦 眼鏡 清潔擦 清潔 眼鏡擦拭,4.9,"2,008","5,591",$13.00
46,蝦皮優選雙色漸層微切角修臉款太陽眼鏡 自拍 外拍 網美 網紅 必備 出國 出門 海邊 夏天 防曬 情侶 百搭 經典 墨鏡 眼鏡,4.9,391,917,$155 - $188
47,蝦皮優選2020New！原廠四抗鏡片！PC級抗衝！1.0安全強化+抗藍光+抗UV400抗反射！近視族！包覆偏光眼鏡加大款9006,5,849,"1,982",$129.00
48,蝦皮優選眼鏡腿配件 眼鏡腿防滑套耳套耳勾耳托  固定防掉板材 太陽鏡腿套,4.9,59,899,$5.00
49,[現貨] 韓版文青復古眼鏡 24H出貨 台灣現貨 【小麥購物】【G039】圓形框 圓框 復古鏡框 文青 學生 書生 鏡框,4.8,753,"1,695",$59.00
50,實拍圖E32最新夏季韓版無框變色眼鏡太陽鏡 愛心款切邊漸變色 透明海洋片 防紫外線 沙灘墨鏡時尚ins彩色墨鏡,4.9,565,"1,545",$10 - $130
51,【馬賽克眼鏡】網紅裝逼眼鏡/裝B眼鏡/二次元惡搞抖音打碼/墨鏡/派對眼鏡/太陽眼鏡/搞笑效果/惡搞/像素/生日/自拍,4.9,35,505,$9 - $29
52,防眩眼鏡 太陽眼鏡 開車族夜間必備 夏季強光必備 防眩光遮陽眼鏡 日夜兩款 附發票,4.8,386,907,$30 - $55
53,[免運 現貨] 防飛沫 護目眼鏡 防護眼鏡 防塵眼鏡 防風眼鏡 護目鏡 台灣SGS檢驗 無重金屬 台灣公司附發票,4.8,172,569,$21.00
54,護目鏡 防飛沫 防風沙 防衝擊 可套眼鏡 防口沫 防灰塵 工作用護鏡 割草防護鏡 防護眼鏡,5,13,220,$4 - $20
55,狗狗眼鏡防風👍現貨👍防風防曬防紫外線 寵物眼鏡中型犬 防風眼鏡 大狗眼鏡,5,273,431,$199.00
56,蝦皮優選保證 /24小時內寄出 / 幾何多邊形墨鏡/金屬/彩膜/ 墨鏡/復古太陽眼鏡/明星同款/熱門款/時尚/太陽眼鏡,4.9,902,"2,260",$50 - $179
57,眼鏡擦 拭鏡 攜帶型 多功能 【Z216】眼鏡清潔擦 清潔刷 攜帶式眼鏡擦米菈生活館,4.9,382,"1,206",$7.00
58,蝦皮優選臺灣製 老花眼鏡 閱讀眼鏡 簡約時尚 流行鏡框 豹紋 黑色鏡框檢驗合格,5,387,"1,268",$29 - $89
59,🌱Comeandbuy🙋強推！復古文藝小清新女瘦臉 原宿百搭超輕潮流可愛細框圓形鏡架平光眼鏡 韓妞必備百搭神器,4.7,"2,019","5,956",$55.00
60,現貨免運 百葉窗防護眼鏡護目鏡 透明防衝擊防飛濺眼鏡 勞保防護眼鏡 可佩帶近視眼鏡 1-2天快速出貨 限時特價,4.9,63,"4,497",$16.00
61,2020年6月21日臺灣日環食眼鏡 專業日蝕觀測眼鏡 日偏食觀測眼鏡 日蝕眼鏡  凝日眼鏡 太陽濾鏡,4.7,18,157,$40 - $43
62,鏡架維修 眼鏡焊接 膠框/金屬框都可以接合 專業眼鏡維修 鏡框修理 純鈦焊接 鏡框斷裂 可拍斷裂處幫你估價 價錢:聊聊談,5,14,14000,$1.00
