,item,rate,num_product,num_sold,price
35,１００％純棉【素T之家！第二代最強素T！】重磅素T T-SHIRT 純色T恤厚內搭素面短袖T恤上衣男女黑白K28-011,7245,166,1925,$190.00
36,現貨《三件組特賣》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00020】,16271,185,1845,$279.00
37,現貨《三件組特賣》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00020】,16271,185,1811,$279.00
38,【§ 衫衫飾飾 §】10071【短袖S-2XL號】白大褂短袖醫師服短袖護士服藥店工作服醫生服男女實驗服美容服8S,4096,2805,1756,$298.00
39,快速出貨《買一送一》polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發印製【26-243】,16270,185,1655,$199.00
40,《自由訂製》純棉假兩件男短袖POLO衫襯衫素面正式運動短袖批發印製訂製棉制服排汗速乾免燙立領【26-992】,18542,194,1632,$199.00
41,【限時特賣！超越G牌！】高磅重磅素T 短袖T恤 透氣 合身 上衣 男女棉質素面黑白灰圓領V領T恤韓板K25-107,7245,166,1631,$150.00
42,💥KD杜蘭特Kevin Durant短袖棉T恤上衣💥NBA籃網隊Adidas愛迪達運動籃球衣服T-shirt男894,214,851,1524,$395.00
43,【§ 衫衫飾飾 §】10053【13款S-4XL號】3DT恤短袖男士t恤復仇聯盟黑豹速乾衣運動緊身衣8S,4102,2805,1504,$299.00
44,H30夏季新款圓領男短袖T卹男士純棉韓版體恤條紋休閒男裝上衣打底衫,19989,4529,1500,$196 - $198
45,【活力家】男女運動緊身衣短袖短褲無袖背心7色吸濕排汗 4件免運買10送1 籃球護膝護肘內搭褲路跑單車健身房重訓 團購批發,1544,21,1486,$199.00
46,【§ 衫衫飾飾 §】10053【4色M-8XL號】速乾大碼男士短袖圓領快乾T恤運動上衣短袖T恤8S,4096,2805,1485,$199.00
47,快速出貨《買一送一》polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發印製訂製【26-243】,18541,194,1467,$179.00
48,【T3】全棉素面短T 76000 素色  運動 男女皆可 短袖 T恤 簡約 舒適 百搭 潮流 大學T 素面T【MT01】,8771,1032,1450,$120.00
49,【ZITA嚴選】WF3002 EXO鹿?吳亦凡世勳藝興同款打歌服應援隊男女款短袖T恤官方應援 衣服 班服 演唱會 現+預,6087,239,1433,$190.00
50,《衣匠》☆吸濕排汗素色圓領 反光條印刷 男款運動短袖T恤﹝TS17M﹞,33967,439,1433,$199.00
51,≡排汗專家≡【03312086】HODARLA 男女無拘束輕彈機能短袖T恤(抗UV 圓領 台灣製 涼感 路跑,35223,2419,1314,$290.00
52,【男仕用無袖寬版背心內衣&挖背背心&細版背心&短袖衛生衣】國綿M.L.XL【帕來坊】衛生衣,9151,329,1251,$60.00
53,~笨笨小舖~促銷價-U領百搭純色素面T恤 男士短T 文化衫 打底衫 緊身衣 修身衣 短袖 潮T 運動內衣 班服 工作衣,6170,771,1226,$69.00
54,限時【買一送一】☆日韓版最新款☆送領帶修身版短袖襯衫男西裝襯衫純色喜宴正式上班免燙防皺素面女【26-568】,16271,185,1149,$319.00
55,【§ 衫衫飾飾 §】10053【3色M-7XL號】夏季新款男士短袖襯衫休閒時尚暗紋印花大碼寬鬆半袖襯衫8S,4102,2806,1143,$790.00
56,JB 專業衣廠【SJ03】超人氣潮男 情侶基本百搭短袖素面POLO衫 22色/滿額免運,52066,429,1138,$180.00
57,JB 專業衣廠【SJ03】男女百搭素面短袖POLO衫 22色  vivi lenaz風,52066,429,1121,$180.00
58,≡排汗專家≡【03310035】免運-激膚無感衣 男女短袖T恤-0秒吸排抗UV輕量吸濕排汗無著感 排汗衫 涼感衣,35223,2419,1082,$290.00
59,~子甄彣璟~促銷價-V領百搭純色素面T恤 男士短T 文化衫 打底衫 緊身衣 修身衣 短袖 潮T 運動內衣 班服 工作衣,26042,1003,1051,$69.00
60,【型男．兩件499】4L-5L 大尺碼 百分百純棉 運動休閒 短袖T恤 多色 #BIG,27129,425,1023,$299.00
61,【買五送一】夏裝潮牌superme短袖簡約字母印花男女情侶裝純棉T恤半袖,1010,41878,999,$199.00
62,🎀大鬍子James Harden哈登短袖棉T恤上衣🎀NBA火箭隊Nike耐克愛迪達運動籃球衣服T-shirt男600,208,853,973,$390.00
63,【2020夏季新款】(3件免運)韓版 男 高質感 男短T 圓領 V領 打底衣 3D圖 大尺碼 短袖 短T恤 棉短T,4919,593,972,$238.00
64,★現貨.附發票★GILDAN  V領 T恤 63V00系列  男女尺碼 短T 素T 中性 短袖 舒適 內衣 百搭 純棉,3523,27,965,$100 - $110
65,BANG◎圓弧下擺背心 寬鬆內搭背心 純棉背心 無袖上衣 長版內搭上衣 運動背心 男生 背心 短袖【MN01】,19939,1113,916,$250.00
66,【§ 衫衫飾飾 §】10093【男女多款M-2XL號】夏季情侶短袖浴袍絲綢睡衣睡裙女性感睡衣男士浴袍絲綢2,4096,2805,891,$590.00
67,BANG◎三件特價 速乾T恤 涼感衣 短袖 夏天 涼感T 速乾T 男生 女生 透氣 排汗【M20】,19910,1111,883,$270.00
68,【C001】CARTERS 卡特夏款 薄棉短袖包屁衣 5件組 舒適透氣! 男寶寶/女寶寶,7585,693,864,$250.00
69,【現貨】潮牌箭頭OFF-white短T off基礎款短T 塗鴉箭頭警戒線 男女短袖T恤 大學T 箭頭印花logo純棉短T,5,12,856,$40 - $390
70,Nike/Puma/Vans/Adidas短T三葉草短T耐吉短T男女圓領短袖愛迪達T大學T運動純棉AJ飛人短T,5,12,854,$1.00
71,棉爸~1182男生短袖綿柔內衣!一件65買10送1,671,29,848,$65.00
72,「布丁潮品」3件免運爆款 POLO衫 拉夫·勞倫 小馬 大馬 POLO衫 休閒男款 短袖 素面簡約 POLO衫 鱷魚上衣,1923,104,847,$350.00
73,【限時特賣！全面優惠！】高磅重磅V領素T 短袖T恤 透氣 合身 上衣 男女棉質素面黑白灰圓領T恤韓板K25-110,7245,166,840,$150.00
74,≡排汗專家≡【03320711】HODARLA 彈力涼感短袖POLO衫(男女排汗衫 有領涼感衣,35223,2419,823,$390.00
75,【現貨】Nike/Puma/Vans/Adidas短T三葉草短T耐吉短T男女圓領短袖T愛迪達T大學T運動純棉AJ飛人短T,5,12,818,$40 - $180
76,【§ 衫衫飾飾 §】10093【男女刺繡多款M-3XL號】刺繡夏季情侶短袖睡裙薄款冰絲綢浴袍龍袍韓版家居服2,4102,2805,807,$750.00
77,棉100%短袖包屁衣五件入~分男女不挑款NB/3/6/9/12/18/24(一包5件)$220,12343,2091,750,$220.00
78,【§ 衫衫飾飾 §】10053【418武士S-6XL號】18款日系古民族風紋身圖案鯉魚3D印花男裝短袖浮世繪大碼個性T恤,4097,2805,742,$599.00
79,【§ 衫衫飾飾 §】10062【短袖5色M~5XL號】夏季短袖潮男休閒格紋格子型男暖男大碼襯衫,4102,2805,735,$329.00
80,出清 洪荒之力 惡搞T 素T 全棉 T恤 短袖 tshirt 男生 女生 情侶T 生日禮物 交換禮物【M21】,19861,1109,731,$199.00
81,《印花POLO衫限時特賣》大尺碼加大純棉男短袖刺繡立領襯衫素面正式運動短袖精梳棉制服排汗速乾免燙盾牌【26-1014】,16257,185,722,$299.00
82,【§ 衫衫飾飾 §】10053【3色M-7XL號】春夏男簡約印花襯衫商務休閒時尚大碼短袖休閒襯衫8S,4096,2805,705,$690.00
83,Adidas Y3 短袖 T恤 logo男女款 短T 上衣  短T 圖案 經典基本 山本耀司 POLO 素面Y-3,1389,3,703,$690.00
84,【§ 衫衫飾飾 §】10053【3色M-5XL】新款翻領男士格子短袖襯衫夏季新大碼日系休閒外套8S,4092,2798,694,$690.00
85,【§ 衫衫飾飾 §】10053【逢凶化吉3色S-7XL】7XL超大碼潮男式休閒圓領寬鬆逢凶化吉日系情侶短袖T恤,4096,2805,687,$790.00
86,Ω衣枝獨袖Ω夏季新款寬鬆韓版男女情侶裝閨密姐妹裝短袖T恤068,8627,3290,663,$99.00
87,【歐美狂銷！落肩戰神！】韓版落肩T恤 長版T 素T 短袖T恤情侶寬版五分袖素面上衣七分袖男女黑白灰K26-039,7245,166,655,$249.00
88,台灣現貨 v領t恤 歐美t恤 男生t恤 男t恤 韓版 t恤 歐美內搭 短袖t恤 排汗t恤 短袖韓版 韓版男生 【T01】,23336,717,644,$99.00
89,【重磅紮實！全面25折！】短袖T恤 短T 純棉素TSHIRT 工作服 上衣 圓領排汗團購團體男女百搭黑白K26-162,7244,166,639,$180.00
90,天絲棉涼感內衣 男上衣 短袖 涼感衣 排汗衫 吸濕排汗 透氣涼爽 #982,1822,67,628,$99.00
