,item,rate,num_product,num_sold,price
37,男士緊身訓練短褲 田徑/PRO/跑步/健身/運動/高彈力/透氣/排汗/速乾/T恤/衫衣/訓練褲/伸縮/籃球/束褲A08,9643,1630,558,$200
38,車褲 Equation 冷燄 自行車短褲  短車褲 男短車褲 高彈力 高密度 立體剪裁,230283,1302,550,$440
39,愛迪達 運動短褲 男生 速幹 快乾材質 休閒五分短褲 素色簡約小logo 拉鍊口袋 高爾夫健身 籃球訓練 透氣排汗 加大,2032,2290,546,$450
40,【羅瑪內飾】【特價125元1條】【4條起發貨】【正品內褲】吸濕、.排汗運動平角褲大碼潮男性感韓版四角短褲頭 純棉男士內褲,339,123,523,$123
41,★ 熊大賣場 ★ NBA籃球褲 雙面穿訓練服 素色短褲 籃球球褲 男款短褲 大碼寬松運動褲 排汗透氣網眼布【AM01】,12716,757,515,$295
42,代理公司貨 自行車短褲 蟻人(495) LAMBDA  短車褲 加強版坐墊  車褲 單車短褲 男短車褲 腳踏車褲,230272,1302,513,$495
43,☆樂活玩很大 ( A202 )  吸濕 排汗 速乾 運動 跑步 反光條 短褲-不分男女-促銷價 165元,23009,184,490,$165
44,台灣現貨 男短褲 七分褲 運動褲 哈倫褲 小腳褲 運動短褲 休閒褲 多口袋短褲 寬版七分褲 休閒七分褲 【P06】,23350,717,489,$167
45,今日限時特價 美式西岸風格螺紋鬆緊抽繩素面休閒運動短褲 海灘褲居家男女短褲子球褲七分褲五分褲 IN2 -A317帽子眼鏡,7944,336,475,$149
46,台灣現貨 歐美高磅五分短褲 男短褲 高磅短褲 男五分褲 休閒短褲 工作褲 純棉短褲 海灘褲 多口袋短褲 【K01】,23336,717,457,$366
47,愛迪達 三葉草 運動休閒短褲 男生 棉質 寬管休閒熱褲 黑白 大碼短褲 大學潮流 時尚百搭 鬆緊腰 針織純棉運動褲,2032,2290,444,$500
48,CPMAX 條紋休閒運動五分褲 舒適透氣清爽 男版短褲 休閒短褲 運動短褲 鬆緊中腰褲 慢跑健身褲 短褲【K40】,23338,717,420,$95
49,【經典重現！活動倒數！】短褲 休閒短褲 棉短褲 運動褲 五分褲七分褲球褲男褲卡其色黑色白色素色馬卡龍K26-001,7245,166,419,$249
50,【現貨】IEGO~純色透氣包邊 男款淺口隱形襪子 造型個性風格 流行百搭 NIKE 懶人運動休閒皮鞋 滑板牛仔 窄管短褲,1632,6171,409,$39
51,特價現貨 運動員指定款💪訓練球褲 運動短褲 籃球褲 桌球褲 運動褲 籃球 五分褲 運動褲 緊身褲 大尺碼 運動褲 男生,3017,307,405,$199
52,【U麻吉】型男丁字褲 男內褲 低腰 非男泳褲 運動 男三角 四角 平角 海灘褲 沙灘褲 男短褲 五分褲,2287,117,395,$139
53,【活動倒數!最後一檔!】短褲 透氣運動短褲 鬆緊拉鍊褲NADDIDAS男籃球褲排球褲羽球褲慢跑休閒健身K25-103,7228,166,382,$350
54,≡排汗專家≡【06360398】HODARLA 翔翼 男女三分緊身短褲(緊身褲 束褲 慢跑 路跑 台灣製,35220,2413,382,$169
55,愛迪達 運動休閒短褲 男生 速幹五分短褲 素色簡約 透氣排汗 拉鍊口袋 夏季短褲 戶外健身 籃球訓練 跑步 俐落好穿,2032,2290,378,$550
56,24小時內發貨 levis levi's 牛仔褲130款任選男生男款休閒褲長褲短褲布褲韓版日版韓版百搭復古流行,2757,519,376,$459
57,【現貨】IEGO~透氣網眼 男款淺口隱形襪子 造型個性風格 流行百搭 NIKE 懶人休閒皮鞋 滑板牛仔窄管短褲 T恤背心,1560,5964,373,$39
58,大自在附發票 MIZUNO 美津濃 排球褲 短褲 V2TB7A0609 黑 V2TB7A0614 丈青 長版 男女通用,13480,4543,372,$525
59,【四大經典！五折下殺！】牛仔褲 牛仔短褲 破壞褲 單寧褲復古四色五分褲七分褲窄管褲男膝上褲工作褲休閒褲K26-026,7245,166,369,$390
60,♂WangMan_1♂韓版修身破洞男士五分牛仔褲青年潮流短褲大碼,17958,798,360,$350
61,台灣現貨 運動鬆緊抽繩速乾短褲 迷彩網紋五分褲 五分短褲 短褲 休閒褲 工作褲 純棉短褲 男短褲 透氣短褲 K25,23338,717,359,$177
62,TNF北臉運動短褲 男 休閒五分短褲 經典印花大logo 黑白 沙灘熱褲 學生籃球訓練 速幹材質 鬆緊腰 透氣排汗,2032,2293,357,$390
63,韓版之家潮流男褲 陽光百搭 型男必備 男士運動短褲 男 【A395】,5156,2410,350,$165
64,≡排汗專家≡【06360326】INSTAR PRO 男女緊身短褲(台灣製 慢跑 路跑 同NIKE PRO版型,35223,2405,348,$199
65,特價【純棉不起毛球休閒短褲】好穿純棉嚴選魚骨圖案休閒短褲 五分褲 男女皆可,7944,336,345,$199
66,【 U麻吉 】多彩 牛奶絲 泳帽 非四角 平角 低腰 男泳褲 溫泉 運動 非男內褲 海灘褲 沙灘褲 三角 短褲 丁字,2283,117,334,$25
67,《衣匠》☆ 台灣製MIT 彈力舒適 排汗透氣網眼布 男運動褲 運動短褲 籃球褲﹝DK03S﹞,33907,443,326,$290
68,≡排汗專家≡【06360326】INSTAR PRO 男女緊身短褲(MIT台灣製 路跑運動內褲 同NIKE PRO 版型,35223,2423,324,$199
69,🎀雷納德Kawhi Leonard運動籃球短褲🎀NBA球衣快艇隊Nike耐克愛迪達健身訓練慢跑五分純棉褲子男女509,210,853,318,$390
70,【 U麻吉 】基本款13色潮男黑頭帆布 腰帶 時尚 皮帶 運動 非 短褲 海灘 鞋,2287,117,283,$89
71,＊Family幸福家＊超好穿彈性棉3L~M大尺碼男內褲/男短褲/男士內褲/男四角褲/男平口褲M3005,12184,379,283,$99
72,【宸彩】網將男運動短褲 家居褲 休閒短褲 寬鬆型 內置雙丁 男內褲,5654,722,280,$205
73,兒童內褲 冰雪奇緣 米妮 凱蒂貓 新款嬰幼兒寶寶三角褲  童褲  男童內褲 女童?褲  大童?褲 ?棉短褲~  牧牧小舖,141,483,277,$20
74,破盤特價【純棉不起毛球素面休閒短褲】好穿純棉 嚴選品質 簡單外出短褲子 五分褲 男女皆可穿 IN DS075,7943,336,277,$188
75,愛迪達 運動短褲 男生 棉質七分褲 刺繡logo 黑白 經典基礎款 寬管 直筒褲 戶外健身 高爾夫 慢跑 籃球訓練 舒適,2032,2293,271,$550
76,特價現貨 運動員指定款💪訓練球褲 運動短褲 籃球褲 桌球褲 運動褲 籃球 五分褲 運動褲 緊身褲 大尺碼 運動褲 男生,3021,306,270,$199
77,台灣現貨 抽繩休閒五分褲 三色可選 美式 五分褲 休閒褲 男短褲 抽繩褲 夏天短褲 男下著 韓版短褲 【K26】,23338,717,264,$199
78,台灣現貨 歐美高磅五分短褲 男短褲 高磅短褲 男五分褲 休閒短褲 工作褲 純棉短褲 海灘褲 多口袋短褲 【K01】,23190,721,264,$366
79,★【開幕限時折扣】【兩件免運】2XU 男/女機能壓縮短褲 緊身/鐵馬/慢跑/跑步/三鐵 專用,2328,20,249,$550
80,【SP商城】2017 新款潮流短褲款 休閒褲 短褲 男士 沙灘褲 直筒 5分中褲子  紅色 寶藍色【IB006】,2485,40,246,$189
81,【兩件免運】耐吉緊身褲短束褲 NIKE PRO COMBAT運動褲nike短褲健身男褲內搭褲科比籃球打底褲,2274,340,242,$300
82,CPMAX 韓系帥哥運動短褲 慢跑褲 跑步褲 大尺碼短褲 男版短褲 休閒短褲 運動短褲 鬆緊中腰褲 慢跑健身褲 K71,23338,717,237,$138
83,【 U麻吉 】型男丁字褲 男內褲 低腰 非男泳褲 運動 男三角 四角 平角 海灘褲 沙灘褲 男短褲 五分褲,2287,117,237,$139
84,工作褲機能褲長褲短褲型男褲防潑水纖維透氣速乾褲爬山外出露營野外求生戶外旅遊登山釣魚出遊旅行出國可拆式變成短褲加贈腰帶,1897,124,227,$388
85,Honey Baby- NO.560 .兒童西裝 日式男童西裝.小禮服背心七分短褲.領帶.領結.襯衫-36~60下標區 ,1706,138,226,$790
86,《衣匠》☆ 通風透氣 吸濕排汗 彈性速乾 側口袋 男運動褲 運動短褲﹝DK14L﹞,33967,439,221,$240
87,【清倉拍賣】男士内褲男一片式透氣冰絲無痕三角短褲頭U凸大碼無缝超薄透明JJ 共八款任選,1825,54,218,$120
88,Shoestw【J2TB4A54-】MIZUNO 美津濃 短褲 路跑短褲 慢跑褲 三分短褲 七色 男女都可穿,507,960,218,$490
89,Ω衣枝獨袖Ω【M~4XL】男士精英籃球褲大碼速乾寬鬆五分褲跑步褲健身短褲,8627,3290,215,$347
90,《衣匠》☆ 彈力舒適 排汗透氣網眼布 男運動褲 運動短褲 籃球褲 台灣製﹝DK03S﹞,33967,439,213,$290
91,[ Y.U ] [ 清倉 售完不補 ] 跑褲 海灘 運動短褲 慢跑 排球 夏天 6色 男女,1404,53,208,$145
92,愛迪達運動短褲 男生 迷彩短褲 五分短褲 鬆緊腰 戶外健身 慢跑 籃球訓練 夏季熱褲 寬管沙灘褲 大學訓練 透氣排汗,2032,2290,205,$500
93,BANG◎刷破牛仔短褲 牛仔短褲 大尺碼短褲 夏季五分褲 休閒五分褲 男生牛仔褲 牛仔短褲 破洞短褲 單寧【MM09】,19942,1113,202,$350
94,特價NIKEPRO緊身衣男裝T恤長袖nike緊身褲nike短袖nike背心adidas愛迪達運動服健身籃球打底褲速乾短褲,1686,73,201,$250
95,【CS衣舖．8266】型男必備！百分百純棉迷彩休閒短褲  鬆緊帶褲頭,26944,416,195,$149
96,LAMBDA 沸點 短車褲 自行車短褲 車褲 男短車褲 單車短褲 立體剪裁,230272,1302,195,$665
97,頂級CoolMax 休閒短褲 extreme台灣 吸濕排汗杜邦 安東機能商品 捷運新埔站附近男裝 快乾 涼感711,5062,106,194,$490
98,Family幸福家＊涼夏必備100%純棉中性男女海灘褲休閒褲M~6L沙灘泡湯短褲/鬆緊帶+綁帶設計C9601,12199,379,192,$190
99,CPMAX 男生運動套裝 上衣加褲子 運動服 大尺碼運動服 休閒套裝  運動短褲 男生套裝 運動上衣 運動服飾 O62,23336,717,191,$199
100,台灣現貨 VS歐美大牌風 女生睡衣 三件式 仿真絲 高級綢緞蕾絲性感吊帶背心➕短褲➕睡袍 冰絲 男朋友撲倒款,3012,307,188,$450
101,機能褲工作褲長褲短褲型男褲防潑水纖維透氣夏季速乾褲爬山外出露營野外求生戶外旅遊登山釣魚出遊旅行出國可拆式變成短褲加贈腰帶,1897,124,182,$388
102,新款 11688 壓縮短褲 加強版坐墊 男款車褲 自行車短褲 車褲 單車短褲 男短車褲 腳踏車褲,230272,1304,173,$549
103,【Prince 達人】新款男式運動家居男士休閒短褲 速乾男生運動褲睡褲~任購兩件有送神密禮物~,7543,517,173,$179
