,item,rate,num_product,num_sold,price
38,◎BANG T3◎4件免運 運動長襪 六色任選 襪子 加厚款 籃球襪 加厚 緊身褲 系籃 團購 運動襪 男生【A07】,19942,1113,1664,$155
39,台灣製造~加大竹炭細針短襪 26~29CM~吸濕快乾 透氣乾爽 短襪棉襪男生襪子加大襪子1/2襪 除臭襪NO.93984,28043,296,1662,$35
40,台灣製造~竹炭五趾短襪 男女適穿一般尺寸22~26CM 吸濕快乾 透氣乾爽 五趾襪棉襪男生襪子女生五指襪除臭襪NO.55,28062,297,1567,$45
41,《 生活博士 》粗網 方型 28X30 cm 洗衣袋 洗衣網 小型 襪子清洗袋 毛帽清洗袋 內搭小衣清洗網 特多龍材質,3714,105,1530,$12
42,★台灣製.附發票★ 童襪 止滑襪 直版襪 短襪 寶寶襪 防滑襪 嬰兒襪 現貨 襪子,3530,27,1425,$18
43,{超值家}女襪2019新款 *腳掌底*矽膠防滑* 女隱形襪子 錦綸淺口船襪短襪 魔術襪,3274,79,1424,$18
44,中筒三色拼色襪 專業/短筒襪/運動/籃球襪/加厚/毛巾底/戶外/襪子/休閒/舒適/透氣/男襪/短襪 現貨D28,5462,1551,1399,$70
45,☆皮可小舖☆適合5-12歲兒童穿襪子  大童襪 兒童襪 卡通襪 寶寶襪 短襪 公主襪 學生襪 男女生 優惠價一雙12元,462,116,1398,$12
46,嚴選襪子工廠334119台灣製 每人限購8組特價商品.短襪.長襪.運動襪.學生襪.免洗襪.旅遊襪 旅行襪【休閒襪】12雙,16952,220,1397,$119
47,男防滑五指襪 瑜珈襪/男女通用/運動襪/健身襪/吸汗/襪子/五指襪/防滑襪/透氣點膠襪/yoga/運動 現貨 D19,5584,1603,1395,$55
48,台灣製造~男生加大竹炭毛巾底船襪 26~29CM ~吸濕快乾 透氣乾爽 短襪棉襪男生襪子加大襪子NO.93997加厚船襪,28043,296,1356,$40
49,點點女短襪 女襪/糖果色/襪子/愛心點點船襪/短襪/隱形襪/地攤襪/透氣/舒適/休閒襪/學生襪 現貨D25,5574,1603,1304,$10
50,台灣製 學生襪  運動襪 襪子 1/2襪 中筒襪 襪子 休閒襪,10098,1848,1297,$10
51,●BANG T3●長筒過膝襪子 棉襪高筒女長襪 專櫃質感搶手款 過膝襪 長襪 襪子 膝上襪 大腿襪 過膝長襪【G07】,19942,1113,1276,$99
52,【台灣現貨 E001】 彩色糖果襪 日系素色短襪 糖果色棉襪 淺口短襪 船型短襪 淺口襪 隱形襪 女棉襪 踝襪 襪子,2497,131,1261,$10
53,露趾五指襪 瑜珈襪/運動襪/防滑女襪/純色中筒襪/秋冬/運動/瑜伽五指襪/襪子禮品/吸汗/舒適/休閒 現貨D18,9577,1630,1237,$45
54,男防滑五指襪 瑜珈襪/男女通用/運動襪/健身襪/吸汗/襪子/五指襪/防滑襪/透氣點膠襪/yoga/運動 現貨 D19,9648,1630,1210,$55
55,襪子 船襪 短襪 中筒襪 半筒襪 隱形襪 運動襪 排汗 透氣 棉襪 素色短襪 長襪(1雙)【B010-1】生活職人,19864,1835,1195,$5 - $10
56,{買1送1}本檔促銷DH sports騎行運動襪 戶外運動通用 耐磨 防臭 超止滑 運動休閒單車襪排汗運動襪子跑步路跑,101094,1187,1192,$88
57,【群益襪子工廠】(12雙480)雙重毛巾1/2長襪、雙重氣墊、加厚毛巾底、、厚底襪、氣墊襪、長襪、運動襪、1/2長襪,19326,409,1155,$480
58,最新《限時買一送一》韓版慢跑鞋透氣運動拖鞋運動海灘鞋洞洞鞋涼鞋健身帆布鞋懶人鞋球鞋黑襪子男飛織鞋籃球鞋【70-511】,16271,185,1112,$490
59,哇哇哇❤現貨 台灣製❤ 2/1休閒襪 帆船襪 棉襪 襪子 條紋 男襪 女襪 童襪 十雙一百 男女皆可穿,253,595,1096,$10
60,【不能說的秘密！隱形增高襪】增高鞋墊 超強隱形增高 增高襪 隱形增高襪 隱形增高 增高鞋墊 增高墊 穿在襪子裡,144018,694,1074,$120
61,高檔 時尚質感 男女內衣包裝袋 內褲包裝袋子 內褲袋 襪子包裝袋 包裝袋 夾鏈袋 密封袋 封口袋 內褲收納袋 內衣收納袋,6690,70,1073,$2
62,【羊角坊☆現貨】120D加大加長款70cm天鵝絨大腿襪子膝上襪長筒襪高筒襪絲襪 黑色/白色/膚色 cos/cosplay,6820,2097,1052,$120
63,24格彩色有蓋竹炭收納盒 內褲收納盒 襪子收納盒  隨機出貨 換季收納【SA110】《約翰家庭百貨,102732,1167,1049,$79
64,【群益襪子工廠】(12雙350)竹炭毛巾短襪、竹炭襪、毛巾襪、氣墊襪、厚底襪、抗菌襪、除臭襪、運動襪,19325,409,1022,$350
65,☆皮可小舖☆ 中性 大童襪 小童襪 兒童襪 卡通襪 保暖襪 造型襪 短襪 襪子 止滑襪 超優惠ㄧ雙19元,460,121,995,$19
66,超熱賣  成本供應 冰絲無痕隱形襪 穿鞋舒適無痕跡 腳底防滑防脫落 女短襪女襪子 超實穿 OL 素色/蕾絲兩款 J33,27516,405,986,$20
67, BANG◎小貓隱形襪 日韓雜誌款 船型襪 隱形襪 短襪 學生襪 純棉 可愛卡通動物造型 男女 五色 襪子【GO01】,19856,1109,985,$35
68,買5送1.買10送3(贈品請勿下單)~排汗王~台灣製~XMAX~消臭氣墊足弓襪-男款~襪子~透氣~排汗~抗菌~除臭,25064,1402,976,$99
69,采舍流行小舖 迪士尼 史迪奇 三眼怪 胡迪 米奇 米妮 毛怪 大眼仔 跳跳虎 驢子 矽膠止滑隱形襪 襪子 挖空 船襪,3656,1183,972,$45
70,☆批發☆《隨機不能挑》特價＊條紋款&隨機款＊加厚地板襪 毛巾襪子 厚襪子 毛絨毛巾襪 彩襪地毯襪,36848,802,962,$19
71,【群益襪子工廠】(黑色12雙)長襪、棉質、1/2長襪、運動襪、免洗襪、襪子、短襪、踝襪、混色額外告知,19321,409,930,$150
72,🔥熱賣襪子🔥惡南宅急店【0125H】彈性極佳舒適度UP 馬卡龍色型襪短襪船形襪素色襪 開學必備 單雙價 / 10色,137819,2054,913,$25
73,(甘蔗園)台灣製的襪子10元(圖樣會變),5396,304,907,$10
74,★台灣製.附發票★運動氣墊襪 竹炭氣墊襪 一雙25 純棉 襪子 短襪 毛巾底 休閒襪 台灣製造 MIT 男女短襪,3542,27,903,$25
